Headline,Source,Issue date,URL,Summary
Gloomy retail earnings show consumers are feeling the pinch of US tariffs,Yahoo,2025-05-01 15:12:22,https://finnhub.io/api/news?id=f2e7b177de6a7f7e29885285105f70169d03dde5f59d8710746daaa99a1b4152,"(Reuters) -Lackluster quarterly results from consumer-facing companies including McDonald's and Harley-Davidson are the latest sign that American shoppers are curbing spending amid shifting U.S. trade policies.  McDonald's posted a surprise decline in quarterly global sales on Thursday and said it was navigating the ""toughest of market conditions"".  It echoed recent warnings from restaurant operators Domino's Pizza, Chipotle Mexican Grill and Starbucks that Americans were spending less on dining out."
"Estée Lauder lays off 2,600 workers, out of its 7,000 target, as sales drop",MarketWatch,2025-05-01 14:37:00,https://finnhub.io/api/news?id=dfb53966d68b120101571993782f93188a9c65c46fae8c3afd66254a5f77dc5d,"Estée Lauder lays off 2,600 workers, out of its 7,000 target, as sales drop"
"Stocks to Watch Thursday: McDonald’s, CVS, Microsoft, Meta",Yahoo,2025-05-01 13:59:32,https://finnhub.io/api/news?id=504ac29d15fa7ddef40ef95b5ac4c1072207ad3426f6695a77366b6841e425b8,"↘️ McDonald’s (MCD) The fast-food chain posted a bigger-than-expected drop in quarterly revenue, driven in part by fewer guests visiting its U.S. locations. Shares fell Thursday morning. ↗️ CVS Health (CVS): The healthcare conglomerate's quarterly results topped expectations."
"Compared to Estimates, Estee Lauder (EL) Q3 Earnings: A Look at Key Metrics",Yahoo,2025-05-01 13:30:34,https://finnhub.io/api/news?id=2ba516524525c16958be8268e350187b8b33f9a092e86cbf13ff9b6b6091de76,"While the top- and bottom-line numbers for Estee Lauder (EL) give a sense of how the business performed in the quarter ended March 2025, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values."
The Estée Lauder Companies Inc. (EL) Q3 2025 Earnings Call Transcript,SeekingAlpha,2025-05-01 13:15:23,https://finnhub.io/api/news?id=7e8ea6bd47bcff2b0cf0ba9b8d35ac6527fb18009646d4bf09181fd40a26ed36,"The EstÃ©e Lauder Companies Inc. (NYSE:EL) Q3 2025 Earnings Conference Call May 1, 2025 8:30 AM ETCompany ParticipantsRainey Mancini - SVP, IRStÃ©phane de La..."
Estée Lauder Earnings Outlook Dims as Sales Suffer,MarketWatch,2025-05-01 11:27:00,https://finnhub.io/api/news?id=17c66e7357e47cd9cb487c8fba3775e739ff7868c9055afa014a9be25f410e29,Estée Lauder Earnings Outlook Dims as Sales Suffer
Estee Lauder (EL) Q3 Earnings and Revenues Beat Estimates,Yahoo,2025-05-01 11:10:06,https://finnhub.io/api/news?id=a46a1965d8e674d27b60262a956337ff603ee5e81d028b82560298cd4f0cbbfe,"Estee Lauder (EL) delivered earnings and revenue surprises of 124.14% and 1.22%, respectively, for the quarter ended March 2025. Do the numbers hold clues to what lies ahead for the stock?"
Estee Lauder Earnings Drop as Layoffs Continue,Yahoo,2025-05-01 10:59:00,https://finnhub.io/api/news?id=cbace14464abdaf0648acb4e5674364612f309d72e8e8bf183e2047574d3ea6b,Estee Lauder confirmed it will lay off thousands more employees as the beauty-products maker logged a sharp decline in its fiscal third quarter net income due to ongoing weakness in the once-hot Asian market.
"Estee Lauder sees bigger sales fall in 2025 on US slowdown, sputtering China recovery",Finnhub,2025-05-01 10:29:31,https://finnhub.io/api/news?id=09a861e2ea7fa6a6473ef4aae0be6a12d0201ed72fc3887f3f6902e1fb81e67a,"Cosmetics giant Estee Lauderforecast a bigger-than-expected drop in fiscal 2025 sales onThursday, signaling a slowdown in demand for beauty products inthe American market and a longer road to..."
Estée Lauder’s (NYSE:EL) Q1 Sales Top Estimates,Yahoo,2025-05-01 10:09:00,https://finnhub.io/api/news?id=a2ea0dbe9bbdd55a1b1dcb07e4de12363149a484276176a2c643c10f46f0af25,"Beauty products company Estée Lauder (NYSE:EL) announced better-than-expected revenue in Q1 CY2025, but sales fell by 9.9% year on year to $3.55 billion. Its non-GAAP profit of $0.65 per share was significantly above analysts’ consensus estimates."
